Industry,Sector
Surface Transportation,Transportation
Commercial Vehicles,Automobiles & Auto Components
Consumer Electronics,Consumer Durables
Department Stores,Retailing
Data Processing Services,Software & Services
Petrochemicals,Chemicals & Petrochemicals
Life Insurance,Banking and Finance
Biotechnology,Pharmaceuticals & Biotechnology
Finance (including NBFCs),Banking and Finance
Exploration & Production,Oil & Gas
Other Leisure Facilities,Diversified Consumer Services
Breweries & Distilleries,"Food, Beverages & Tobacco"
Holding Companies,Diversified
Investment Companies,Others
Aluminium and Aluminium Products,Metals & Mining
Waste Management,Utilities
Refineries/Petro-Products,Oil & Gas
Photographic Products,General Industrials
Electrodes & Refractories,General & Industrial Manufacturing
Banks,Banking and Finance
2/3 Wheelers,Automobiles & Auto Components
Furniture-Furnishing,Diversified Consumer Services
Auto Tyres & Rubber Products,Automobiles & Auto Components
Cement & Cement Products,Cement and Construction
Plastic Products,General Industrials
Cars & Utility Vehicles,Automobiles & Auto Components
Wires & Cables,Consumer Durables
Roads & Highways,Cement and Construction
Specialty Chemicals,Chemicals & Petrochemicals
Consulting Services,Commercial Services & Supplies
Special Consumer Services,Diversified Consumer Services
Paints,Consumer Durables
Healthcare Facilities,Healthcare
Hotels,Hotels Restaurants & Tourism
Other Electrical Equipment/Products,Consumer Durables
Copper,Metals & Mining
Oil Marketing & Distribution,Oil & Gas
Pharmaceuticals,Pharmaceuticals & Biotechnology
Construction Materials,Cement and Construction
Commodity Trading  & Distribution,Commercial Services & Supplies
Microfinance Institutions,Banking & Finance
Other Telecom Services,Telecom Services
Computer Hardware,Hardware Technology & Equipment
Telecom Services,Telecom Services
Household Appliances,Consumer Durables
Realty,Realty
Internet Software & Services,Software & Services
Telecom Cables,Telecommunications Equipment
IT Consulting & Software,Software & Services
Personal Products,FMCG
Other Financial Services,Banking and Finance
Airlines,Transportation
Sugar,"Food, Beverages & Tobacco"
Asset Management Cos.,Banking and Finance
Publishing,Commercial Services & Supplies
Edible Oils,FMCG
Other Agricultural Products,"Food, Beverages & Tobacco"
Electronic Components,Commercial Services & Supplies
Diversified,Diversified
BPO/KPO,Software & Services
Internet & Catalogue Retail,Retailing
Education,Diversified Consumer Services
Financial Institutions,Banking and Finance
Auto Parts & Equipment,Automobiles & Auto Components
Fibres & Plastics,General Industrials
Paper & Paper Products,Commercial Services & Supplies
Packaged Foods,FMCG
Travel Support Services,Diversified Consumer Services
Coal & Mining,Metals & Mining
Forest Products,Forest Materials
Ceramics,Consumer Durables
Agrochemicals,Chemicals & Petrochemicals
Telecom Equipment,Telecommunications Equipment
Heavy Electrical Equipment,General Industrials
Healthcare Supplies,Healthcare
Castings & Forgings,General & Industrial Manufacturing
Household Products,Consumer Durables
Broadcasting & Cable TV,Media
Fertilizers,Fertilizers
Abrasives & Bearings,General & Industrial Manufacturing
Cigarettes-Tobacco Products,"Food, Beverages & Tobacco"
Shipping,Transportation
Medical Equipment,Healthcare
Distributors,Commercial Services & Supplies
Warehousing & Logistics,Transportation
Power - Electric Utilities,Utilities
Iron & Steel Products,Metals & Mining
Commodity Printing/Stationery,Commercial Services & Supplies
Aerospace & Defence,General Industrials
Industrial Gases,General Industrials
Green & Renewable Energy,Utilities
Misc. Commercial Services,Commercial Services & Supplies
Dyes & Pigments,Chemicals & Petrochemicals
Compressors & Pumps,General & Industrial Manufacturing
Tea & Coffee,"Food, Beverages & Tobacco"
Construction & Engineering,Cement and Construction
Gems & Jewellery,Textiles Apparels & Accessories
Marine Port & Services,Transportation
Housing Finance,Banking and Finance
General Insurance,Banking and Finance
Commodity Chemicals,Chemicals & Petrochemicals
Textiles,Textiles Apparels & Accessories
Industrial Machinery,General Industrials
Movies & Entertainment,Media
Jute & Jute Products,Forest Materials
Other Industrial Goods,General Industrials
Oil Equipment & Services,Oil & Gas
Specialty Retail,Retailing
Other Non-Ferrous Metals,Metals & Mining
Healthcare Services,Healthcare
Advertising & Media,Media
IT Networking Equipment,Hardware Technology & Equipment
Iron & Steel/Interm.Products,Metals & Mining
IT Training Services,Software & Services
Restaurants,Hotels Restaurants & Tourism
Capital Markets,Banking and Finance
Footwear,Retailing
IT Software Products,Software & Services
Containers & Packaging,Commercial Services & Supplies
Houseware,Consumer Durables
REITs-InvITs,Realty
Transport Related Services,Transportation
Utilities:Non-Electrical,Utilities
Other Food & Beverages,"Food, Beverages & Tobacco"
Other Industrial Products,General Industrials
Other Apparels & Accessories,Textiles Apparels & Accessories
